일자,수익률,대비,종목명
2022-01-04,1.868,0.013,국채3년
2022-01-05,1.913,0.045,국채3년
2022-01-06,2.013,0.1,국채3년
2022-01-07,2.015,0.002,국채3년
2022-01-10,2.058,0.043,국채3년
2022-01-11,2.038,-0.02,국채3년
2022-01-12,1.998,-0.04,국채3년
2022-01-13,1.953,-0.045,국채3년
2022-01-14,2.044,0.091,국채3년
2022-01-17,2.148,0.104,국채3년
2022-01-18,2.127,-0.021,국채3년
2022-01-19,2.073,-0.054,국채3년
2022-01-20,2.119,0.046,국채3년
2022-01-21,2.132,0.013,국채3년
2022-01-24,2.112,-0.02,국채3년
2022-01-25,2.174,0.062,국채3년
2022-01-26,2.156,-0.018,국채3년
2022-01-27,2.217,0.061,국채3년
2022-01-28,2.189,-0.028,국채3년
2022-02-03,2.158,-0.031,국채3년
2022-02-04,2.194,0.036,국채3년
2022-02-07,2.237,0.043,국채3년
2022-02-08,2.303,0.066,국채3년
2022-02-09,2.279,-0.024,국채3년
2022-02-10,2.264,-0.015,국채3년
2022-02-11,2.343,0.079,국채3년
2022-02-14,2.347,0.004,국채3년
2022-02-15,2.345,-0.002,국채3년
2022-02-16,2.325,-0.02,국채3년
2022-02-17,2.295,-0.03,국채3년
2022-02-18,2.322,0.027,국채3년
2022-02-21,2.363,0.041,국채3년
2022-02-22,2.327,-0.036,국채3년
2022-02-23,2.317,-0.01,국채3년
2022-02-24,2.226,-0.091,국채3년
2022-02-25,2.244,0.018,국채3년
2022-02-28,2.242,-0.002,국채3년
2022-03-02,2.187,-0.055,국채3년
2022-03-03,2.195,0.008,국채3년
2022-03-04,2.214,0.019,국채3년
2022-03-07,2.288,0.074,국채3년
2022-03-08,2.287,-0.001,국채3년
2022-03-10,2.267,-0.02,국채3년
2022-03-11,2.255,-0.012,국채3년
2022-03-14,2.283,0.028,국채3년
2022-03-15,2.285,0.002,국채3년
2022-03-16,2.268,-0.017,국채3년
2022-03-17,2.217,-0.051,국채3년
2022-03-18,2.231,0.014,국채3년
2022-03-21,2.268,0.037,국채3년
2022-03-22,2.399,0.131,국채3년
2022-03-23,2.426,0.027,국채3년
2022-03-24,2.455,0.029,국채3년
2022-03-25,2.505,0.05,국채3년
2022-03-28,2.747,0.242,국채3년
2022-03-29,2.7,-0.047,국채3년
2022-03-30,2.615,-0.085,국채3년
2022-03-31,2.663,0.048,국채3년
2022-04-01,2.784,0.121,국채3년
2022-04-04,2.837,0.053,국채3년
2022-04-05,2.879,0.042,국채3년
2022-04-06,2.941,0.062,국채3년
2022-04-07,2.905,-0.036,국채3년
2022-04-08,2.987,0.082,국채3년
2022-04-11,3.186,0.199,국채3년
2022-04-12,3.105,-0.081,국채3년
2022-04-13,3.001,-0.104,국채3년
